Phân loại;Quận;Phường;Khu vực;Vị trí cụ thể;Điểm đầu;;
"	
Khu vực sạt lở";Xã Trà Leng;Xã Trà Leng;Xã Trà Leng;Xã Trà Leng;15.27128575, 108.0367303;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.34657638, 108.3368411;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.33774217, 108.3211337;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.3390271, 108.3200832;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.33982501, 108.3182962;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.34172381, 108.3177402;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.37924689, 108.3071309;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37555678, 108.2956677;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37575489, 108.2823006;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.38741606, 108.2807326;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.38620858, 108.2778432;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36790697, 108.2699944;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.38686081, 108.2539025;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36113815, 108.2617888;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37607412, 108.2414069;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37607593, 108.2397301;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.3772079, 108.2376821;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37743956, 108.2322794;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.38267657, 108.2371293;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.38865127, 108.2450266;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.38985347, 108.2449162;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.30166159, 108.2251651;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.33327514, 108.2182045;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.31193157, 108.2133492;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.31465755, 108.2170491;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.30596514, 108.2146003;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.30442971, 108.2134813;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.30705221, 108.211994;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.30795674, 108.2112499;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.31512872, 108.2158296;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.33843112, 108.2138604;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.54317834, 107.9458803;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.54277422, 107.957767;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.2968763, 107.820234;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.29143096, 107.8262166;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.28952527, 107.8280153;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.28895633, 107.828621;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.28535422, 107.8341456;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.27980621, 107.8361705;;
"	
Khu vực sạt lở";Xã Bến Giằng;Xã Bến Giằng;Xã Bến Giằng;Xã Bến Giằng;15.64397603, 107.7037436;;
"	
Khu vực sạt lở";Xã Bến Giằng;Xã Bến Giằng;Xã Bến Giằng;Xã Bến Giằng;15.65396778, 107.6692446;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85734887, 107.4419913;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85767734, 107.4432041;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85688365, 107.4473612;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.80929261, 107.6306555;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.82100829, 107.7031698;;
"	
Khu vực sạt lở";Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;15.90011615, 107.690736;;
"	
Khu vực sạt lở";Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;15.90026228, 107.6918097;;
"	
Khu vực sạt lở";Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;15.90715444, 107.7021285;;
"	
Khu vực sạt lở";Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;15.91567327, 107.7127352;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.48587583, 107.8346951;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.47846067, 107.8417189;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.46288331, 107.8352912;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.46420706, 107.8288878;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.46399674, 107.8257474;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.45974771, 107.8243437;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.45168841, 107.8277891;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.45255336, 107.8361473;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.44489445, 107.843664;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.44113853, 107.8493696;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.44045612, 107.8561351;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.44051086, 107.8569271;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.5049768, 107.8161962;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.51076765, 107.8131523;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.52378664, 107.8181372;;
"	
Khu vực sạt lở";Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;Xã Khâm Đức;15.56089028, 107.8211161;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.47000791, 107.8517159;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.78485726, 107.6966609;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.78328581, 107.7040368;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.79067504, 107.7080024;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.79286856, 107.7127876;;
"	
Khu vực sạt lở";Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;15.70246802, 107.600769;;
"	
Khu vực sạt lở";Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;15.70439619, 107.6074828;;
"	
Khu vực sạt lở";Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;15.69709751, 107.6096333;;
"	
Khu vực sạt lở";Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;15.68647743, 107.6143461;;
"	
Khu vực sạt lở";Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;15.68870903, 107.6190811;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.76455338, 107.2876264;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.77749946, 107.3086829;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.79996446, 107.3081213;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.80114715, 107.307744;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.80373224, 107.3078752;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.80507055, 107.3081227;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.86331252, 107.729682;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.86149949, 107.725324;;
"	
Khu vực sạt lở";Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;15.92307923, 107.7299105;;
"	
Khu vực sạt lở";Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;15.92193738, 107.7274462;;
"	
Khu vực sạt lở";Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;15.91900064, 107.7207722;;
"	
Khu vực sạt lở";Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;15.91716336, 107.718748;;
"	
Khu vực sạt lở";Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;15.91715127, 107.716413;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.45692854, 107.9194368;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.45492058, 107.9154211;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.44371048, 107.9084183;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.43811645, 107.8898404;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.39421617, 107.9054867;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.41432747, 107.9342208;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.39353397, 107.9469253;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.44820562, 107.8951653;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.48945173, 107.9728583;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.48703073, 107.9858978;;
"	
Khu vực sạt lở";Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;Xã Phước Hiệp;15.41630347, 107.9575224;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.31003336, 107.9038763;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.31093569, 107.9234135;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.30557505, 107.8983468;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.29640073, 107.897327;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.30143012, 107.9067018;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.28754857, 107.9359738;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.28233102, 107.9279305;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.30028362, 107.8898196;;
"	
Khu vực sạt lở";Xã Thạnh Mỹ;Xã Thạnh Mỹ;Xã Thạnh Mỹ;Xã Thạnh Mỹ;15.76656572, 107.8195558;;
"	
Khu vực sạt lở";Xã Thạnh Mỹ;Xã Thạnh Mỹ;Xã Thạnh Mỹ;Xã Thạnh Mỹ;15.78688073, 107.8399697;;
"	
Khu vực sạt lở";Xã La Êê;Xã La Êê;Xã La Êê;Xã La Êê;15.64275748, 107.3458195;;
"	
Khu vực sạt lở";Xã La Êê;Xã La Êê;Xã La Êê;Xã La Êê;15.65819334, 107.3487926;;
"	
Khu vực sạt lở";Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;15.70516825, 107.4254458;;
"	
Khu vực sạt lở";Xã La Êê;Xã La Êê;Xã La Êê;Xã La Êê;15.71747583, 107.4013111;;
"	
Khu vực sạt lở";Xã La Êê;Xã La Êê;Xã La Êê;Xã La Êê;15.71370995, 107.4056326;;
"	
Khu vực sạt lở";Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;15.70787399, 107.4514221;;
"	
Khu vực sạt lở";Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;15.73273129, 107.4713147;;
"	
Khu vực sạt lở";Xã La Êê;Xã La Êê;Xã La Êê;Xã La Êê;15.62357324, 107.4138484;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.4035621, 108.202188;;
"	
Khu vực sạt lở";Xã Phước Năng;Xã Phước Năng;Xã Phước Năng;Xã Phước Năng;15.4075466, 107.7963163;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.24386654, 107.8089401;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.27813283, 107.8010693;;
"	
Khu vực sạt lở";Xã Thạnh Mỹ;Xã Thạnh Mỹ;Xã Thạnh Mỹ;Xã Thạnh Mỹ;15.78378256, 107.7546246;;
"	
Khu vực sạt lở";Xã Thạnh Mỹ;Xã Thạnh Mỹ;Xã Thạnh Mỹ;Xã Thạnh Mỹ;15.77254313, 107.7661273;;
"	
Khu vực sạt lở";Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;Xã Nam Giang;15.73579896, 107.5366257;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85577423, 107.4307542;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85857457, 107.4268436;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.86222817, 107.420979;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.86567218, 107.4145359;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.86340905, 107.3966994;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85962044, 107.3927706;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85709683, 107.4285097;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.81946737, 107.2723122;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.82013945, 107.2706108;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.82211218, 107.2713879;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.82283684, 107.2718894;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.82439533, 107.2731067;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.82563566, 107.2737744;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.82652589, 107.2751434;;
"	
Khu vực sạt lở";Xã Hiệp Đức;Xã Hiệp Đức;Xã Hiệp Đức;Xã Hiệp Đức;15.61438211, 108.1000307;;
"	
Khu vực sạt lở";Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;15.92991016, 107.6311923;;
"	
Khu vực sạt lở";Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;15.92922742, 107.6336127;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.88118061, 107.8162698;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.88864585, 107.8163191;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.88799616, 107.8175337;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.89973673, 107.8181488;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.9162547, 107.8254097;;
"	
Khu vực sạt lở";Xã Avương;Xã Avương;Xã Avương;Xã Avương;15.95846239, 107.5220864;;
"	
Khu vực sạt lở";Xã Avương;Xã Avương;Xã Avương;Xã Avương;15.96404634, 107.5215407;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.81446679, 107.3790247;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.81507842, 107.3811699;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.81584561, 107.3808221;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.81610559, 107.3800839;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.81635786, 107.3798124;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.81876771, 107.3787129;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.81918227, 107.3783102;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.82064386, 107.3774469;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.84059444, 107.3823712;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85433035, 107.3884169;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.80869176, 107.2659847;;
"	
Khu vực sạt lở";Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;15.93019634, 107.6927075;;
"	
Khu vực sạt lở";Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;15.93142392, 107.6980203;;
"	
Khu vực sạt lở";Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;Xã Sông Kôn;15.97662975, 107.7885289;;
"	
Khu vực sạt lở";Xã Sông Vàng;Xã Sông Vàng;Xã Sông Vàng;Xã Sông Vàng;15.93045673, 107.9032131;;
"	
Khu vực sạt lở";Xã Tiên Phước;Xã Tiên Phước;Xã Tiên Phước;Xã Tiên Phước;15.54456672, 108.3287704;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.83142823, 107.3506398;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.83325507, 107.3420733;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.84777023, 107.3454527;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.91514658, 107.5064238;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.91761362, 107.5024017;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.9135791, 107.4929975;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.81265943, 107.2714497;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.8138573, 107.270232;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.7986362, 107.2615034;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.79808396, 107.2612161;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.80495164, 107.2557401;;
"	
Khu vực sạt lở";Xã Avương;Xã Avương;Xã Avương;Xã Avương;15.89380908, 107.5609103;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.83907112, 107.5578265;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.83320432, 107.5571484;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.84803123, 107.5641838;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85269461, 107.5686835;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.85446205, 107.5712567;;
"	
Khu vực sạt lở";Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;Xã Bến Hiên;15.80316325, 107.7132865;;
"	
Khu vực sạt lở";Xã Avương;Xã Avương;Xã Avương;Xã Avương;15.91499972, 107.5133914;;
"	
Khu vực sạt lở";Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;Xã Đông Giang;15.92997052, 107.6401776;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.77955316, 107.3093852;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.78801095, 107.3061833;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.79350235, 107.3108314;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.83052544, 107.3099592;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.83480403, 107.2971177;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.83242259, 107.3040901;;
"	
Khu vực sạt lở";Xã Avương;Xã Avương;Xã Avương;Xã Avương;15.95349176, 107.5737651;;
"	
Khu vực sạt lở";Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;Xã Hùng Sơn;15.76878799, 107.3031782;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.8464891, 107.552498;;
"	
Khu vực sạt lở";Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;Xã Tây Giang;15.84536216, 107.5538355;;
"	
Khu vực sạt lở";Xã La Êê;Xã La Êê;Xã La Êê;Xã La Êê;15.67239705, 107.3356881;;
